Stage Name,stageCost,relDepth,stageClassification,avgDemand,stdDevDemand,maxServiceTime,serviceLevel,stageTime,stdDev stageTime,stageTime_1,stageTime_%_1,stageTime_2,stageTime_%_2,stageTime_3,stageTime_%_3,stageTime_4,stageTime_%_4,stageTime_5,stageTime_%_5,stageTime_6,stageTime_%_6,xPosition,yPosition
Dist_0027,$4.61 ,3,Dist,,,,,5,,,,,,,,,,,,,,1232,4304
Dist_0028,$5.61 ,3,Dist,,,,,7,,,,,,,,,,,,,,1232,4384
Dist_0029,$0.78 ,1,Dist,,,,,1,,,,,,,,,,,,,,1424,1520
Dist_0030,$0.68 ,1,Dist,,,,,4,,,,,,,,,,,,,,1424,1792
Dist_0031,$2.75 ,1,Dist,,,,,12,,,,,,,,,,,,,,1424,4384
Manuf_0001,$5.37 ,4,Manuf,,,,,6,,,,,,,,,,,,,,1136,32
Manuf_0002,$2.92 ,4,Manuf,,,,,4,,,,,,,,,,,,,,1136,176
Manuf_0003,$3.86 ,4,Manuf,,,,,2,,,,,,,,,,,,,,1136,256
Manuf_0004,$4.57 ,4,Manuf,,,,,10,,,,,,,,,,,,,,1136,336
Manuf_0005,$4.14 ,4,Manuf,,,,,2,,,,,,,,,,,,,,1136,400
Manuf_0006,$3.55 ,4,Manuf,,,,,1,,,,,,,,,,,,,,1136,480
Manuf_0007,$13.92 ,4,Manuf,,,,,10,,,,,,,,,,,,,,1136,640
Manuf_0008,$12.64 ,4,Manuf,,,,,4,,,,,,,,,,,,,,1136,720
Manuf_0009,$11.43 ,4,Manuf,,,,,9,,,,,,,,,,,,,,1136,800
Manuf_0010,$3.51 ,4,Manuf,,,,,4,,,,,,,,,,,,,,1136,960
Manuf_0011,$4.06 ,4,Manuf,,,,,6,,,,,,,,,,,,,,1136,1040
Manuf_0012,$4.94 ,4,Manuf,,,,,5,,,,,,,,,,,,,,1136,1120
Manuf_0013,$2.46 ,4,Manuf,,,,,5,,,,,,,,,,,,,,1136,1520
Manuf_0014,$4.74 ,4,Manuf,,,,,4,,,,,,,,,,,,,,1136,1840
Manuf_0015,$3.31 ,4,Manuf,,,,,6,,,,,,,,,,,,,,1136,2080
Manuf_0016,$2.50 ,4,Manuf,,,,,7,,,,,,,,,,,,,,1136,2400
Manuf_0017,$3.44 ,4,Manuf,,,,,2,,,,,,,,,,,,,,1136,2624
Manuf_0018,$3.38 ,4,Manuf,,,,,6,,,,,,,,,,,,,,1136,2864
Manuf_0019,$3.99 ,4,Manuf,,,,,9,,,,,,,,,,,,,,1136,3104
Manuf_0020,$4.31 ,4,Manuf,,,,,9,,,,,,,,,,,,,,1136,3344
Manuf_0021,$3.45 ,4,Manuf,,,,,1,,,,,,,,,,,,,,1136,3584
Manuf_0022,$2.78 ,4,Manuf,,,,,5,,,,,,,,,,,,,,1136,3824
Manuf_0023,$7.88 ,4,Manuf,,,,,2,,,,,,,,,,,,,,1136,4304
Manuf_0024,$7.80 ,4,Manuf,,,,,1,,,,,,,,,,,,,,1136,4384
Part_0001,$61.00 ,7,Part,,,,,38,,,,,,,,,,,,,,224,1968
Part_0002,$0.71 ,6,Part,,,,,5,,,,,,,,,,,,,,528,2272
Part_0003,$6.42 ,6,Part,,,,,33,,,,,,,,,,,,,,528,2432
Part_0004,$0.38 ,6,Part,,,,,6,,,,,,,,,,,,,,528,2592
Part_0005,$13.40 ,5,Part,,,,,42,,,,,,,,,,,,,,736,112
Part_0006,$12.21 ,5,Part,,,,,1,,,,,,,,,,,,,,736,176
Part_0007,$9.92 ,5,Part,,,,,37,,,,,,,,,,,,,,736,256
Part_0008,$14.43 ,5,Part,,,,,24,,,,,,,,,,,,,,736,336
Part_0009,$14.31 ,5,Part,,,,,23,,,,,,,,,,,,,,736,400
Part_0010,$9.47 ,5,Part,,,,,32,,,,,,,,,,,,,,736,480
Part_0011,$17.66 ,5,Part,,,,,1,,,,,,,,,,,,,,736,640
Part_0012,$16.97 ,5,Part,,,,,11,,,,,,,,,,,,,,736,720
Part_0013,$18.02 ,5,Part,,,,,29,,,,,,,,,,,,,,736,800
Part_0014,$9.20 ,5,Part,,,,,61,,,,,,,,,,,,,,736,960
Part_0015,$17.50 ,5,Part,,,,,39,,,,,,,,,,,,,,736,1040
Part_0016,$12.43 ,5,Part,,,,,39,,,,,,,,,,,,,,736,1120
Part_0017,$0.14 ,5,Part,,,,,7,,,,,,,,,,,,,,736,1520
Part_0018,$1.98 ,5,Part,,,,,9,,,,,,,,,,,,,,736,1600
Part_0019,$0.26 ,5,Part,,,,,9,,,,,,,,,,,,,,736,1680
Part_0020,$0.08 ,5,Part,,,,,26,,,,,,,,,,,,,,736,1760
Part_0021,$0.26 ,5,Part,,,,,1,,,,,,,,,,,,,,736,1840
Part_0022,$2.08 ,5,Part,,,,,10,,,,,,,,,,,,,,736,1920
Part_0023,$0.25 ,5,Part,,,,,5,,,,,,,,,,,,,,736,2000
Part_0024,$2.08 ,5,Part,,,,,16,,,,,,,,,,,,,,736,2080
Part_0025,$0.16 ,5,Part,,,,,9,,,,,,,,,,,,,,736,2160
Part_0026,$11.10 ,5,Part,,,,,5,,,,,,,,,,,,,,736,2240
Part_0027,$0.12 ,5,Part,,,,,15,,,,,,,,,,,,,,736,2320
Part_0028,$2.47 ,5,Part,,,,,9,,,,,,,,,,,,,,736,2400
Part_0029,$0.36 ,5,Part,,,,,1,,,,,,,,,,,,,,736,2464
Part_0030,$0.16 ,5,Part,,,,,9,,,,,,,,,,,,,,736,2544
Part_0031,$2.24 ,5,Part,,,,,8,,,,,,,,,,,,,,736,2624
Part_0032,$0.25 ,5,Part,,,,,0,,,,,,,,,,,,,,736,2704
Part_0033,$1.91 ,5,Part,,,,,6,,,,,,,,,,,,,,736,2784
Part_0034,$0.30 ,5,Part,,,,,2,,,,,,,,,,,,,,736,2864
Part_0035,$0.16 ,5,Part,,,,,26,,,,,,,,,,,,,,736,2944
Part_0036,$1.98 ,5,Part,,,,,11,,,,,,,,,,,,,,736,3024
Part_0037,$0.19 ,5,Part,,,,,5,,,,,,,,,,,,,,736,3104
Part_0038,$0.16 ,5,Part,,,,,18,,,,,,,,,,,,,,736,3184
Part_0039,$2.25 ,5,Part,,,,,10,,,,,,,,,,,,,,736,3264
Part_0040,$0.13 ,5,Part,,,,,20,,,,,,,,,,,,,,736,3344
Part_0041,$0.34 ,5,Part,,,,,11,,,,,,,,,,,,,,736,3424
Part_0042,$0.11 ,5,Part,,,,,29,,,,,,,,,,,,,,736,3504
Part_0043,$1.65 ,5,Part,,,,,6,,,,,,,,,,,,,,736,3584
Part_0044,$0.19 ,5,Part,,,,,11,,,,,,,,,,,,,,736,3664
Part_0045,$0.11 ,5,Part,,,,,17,,,,,,,,,,,,,,736,3744
Part_0046,$2.37 ,5,Part,,,,,5,,,,,,,,,,,,,,736,3824
Part_0047,$0.20 ,5,Part,,,,,7,,,,,,,,,,,,,,736,3904
Part_0048,$9.56 ,5,Part,,,,,64,,,,,,,,,,,,,,736,4304
Part_0049,$8.32 ,5,Part,,,,,62,,,,,,,,,,,,,,736,4384
Retail_0001,$2.00 ,2,Retail,135.80,10.76,1,95%,0,,,,,,,,,,,,,,1328,32
Retail_0002,$1.00 ,2,Retail,160.03,8.78,1,95%,0,,,,,,,,,,,,,,1328,176
Retail_0003,$2.00 ,2,Retail,67.09,5.58,1,95%,0,,,,,,,,,,,,,,1328,256
Retail_0004,$1.00 ,2,Retail,43.81,11.92,1,95%,0,,,,,,,,,,,,,,1328,336
Retail_0005,$1.00 ,2,Retail,14.08,12.24,1,95%,0,,,,,,,,,,,,,,1328,400
Retail_0006,$1.00 ,2,Retail,105.52,11.67,1,95%,0,,,,,,,,,,,,,,1328,480
Retail_0007,$1.00 ,2,Retail,690.22,8.63,1,95%,0,,,,,,,,,,,,,,1328,640
Retail_0008,$2.00 ,2,Retail,19.29,9.96,1,95%,0,,,,,,,,,,,,,,1328,720
Retail_0009,$2.00 ,2,Retail,61.24,13.64,1,95%,0,,,,,,,,,,,,,,1328,800
Retail_0010,$2.00 ,2,Retail,38.65,17.07,1,95%,0,,,,,,,,,,,,,,1328,960
Retail_0011,$2.00 ,2,Retail,1659.54,15.63,1,95%,0,,,,,,,,,,,,,,1328,1040
Retail_0012,$2.00 ,2,Retail,389.88,16.01,1,95%,0,,,,,,,,,,,,,,1328,1120
Retail_0013,$0.00 ,2,Retail,119.17,20.77,8,95%,0,,,,,,,,,,,,,,1328,1856
Retail_0014,$0.00 ,2,Retail,118.77,16.98,3,95%,0,,,,,,,,,,,,,,1328,2080
Retail_0015,$0.00 ,2,Retail,455.75,9.85,3,95%,0,,,,,,,,,,,,,,1328,2400
Retail_0016,$0.00 ,2,Retail,327.70,12.25,7,95%,0,,,,,,,,,,,,,,1328,2624
Retail_0017,$0.00 ,2,Retail,91.63,14.95,8,95%,0,,,,,,,,,,,,,,1328,2816
Retail_0018,$0.00 ,2,Retail,293.42,14.68,8,95%,0,,,,,,,,,,,,,,1328,2880
Retail_0019,$0.00 ,2,Retail,301.19,12.15,4,95%,0,,,,,,,,,,,,,,1328,3104
Retail_0020,$0.00 ,2,Retail,79.45,18.62,8,95%,0,,,,,,,,,,,,,,1328,3344
Retail_0021,$0.00 ,2,Retail,645.41,11.11,3,95%,0,,,,,,,,,,,,,,1328,3568
Retail_0022,$0.00 ,2,Retail,357.04,12.20,7,95%,0,,,,,,,,,,,,,,1328,3632
Retail_0023,$0.00 ,2,Retail,735.00,12.08,2,95%,0,,,,,,,,,,,,,,1328,3792
Retail_0024,$0.00 ,2,Retail,916.68,6.56,3,95%,0,,,,,,,,,,,,,,1328,3888
Retail_0025,$0.00 ,2,Retail,4031.75,13.79,5,95%,0,,,,,,,,,,,,,,1328,4304
Retail_0026,$0.00 ,0,Retail,386.90,18.45,2,95%,0,,,,,,,,,,,,,,1520,1520
Retail_0027,$0.00 ,0,Retail,482.89,17.86,2,95%,0,,,,,,,,,,,,,,1520,1792
Retail_0028,$0.00 ,0,Retail,771.32,7.02,5,95%,0,,,,,,,,,,,,,,1520,4384
Trans_0001,$0.13 ,6,Trans,,,,,4,,,,,,,,,,,,,,528,32
Trans_0002,$0.40 ,6,Trans,,,,,32,,,,,,,,,,,,,,528,560
Trans_0003,$3.00 ,6,Trans,,,,,6,,,,,,,,,,,,,,528,880
Trans_0004,$0.21 ,6,Trans,,,,,35,,,,,,,,,,,,,,528,1440
Trans_0005,$0.43 ,6,Trans,,,,,5,,,,,,,,,,,,,,528,3696
Trans_0006,$1.00 ,5,Trans,,,,,10,,,,,,,,,,,,,,736,32
Trans_0007,$1.00 ,5,Trans,,,,,6,,,,,,,,,,,,,,736,560
Trans_0008,$1.00 ,5,Trans,,,,,6,,,,,,,,,,,,,,736,880
Trans_0009,$0.02 ,5,Trans,,,,,4,,,,,,,,,,,,,,736,1200
Trans_0010,$0.03 ,5,Trans,,,,,6,,,,,,,,,,,,,,736,1280
Trans_0011,$0.03 ,5,Trans,,,,,1,,,,,,,,,,,,,,736,1360
Trans_0012,$1.36 ,5,Trans,,,,,1,,,,,,,,,,,,,,736,1440
Trans_0013,$0.12 ,5,Trans,,,,,4,,,,,,,,,,,,,,736,3984
Trans_0014,$0.14 ,5,Trans,,,,,3,,,,,,,,,,,,,,736,4064
Trans_0015,$0.13 ,5,Trans,,,,,4,,,,,,,,,,,,,,736,4144
Trans_0016,$0.00 ,5,Trans,,,,,1,,,,,,,,,,,,,,736,4224
Trans_0017,$0.23 ,5,Trans,,,,,9,,,,,,,,,,,,,,736,4464
Trans_0018,$0.13 ,5,Trans,,,,,12,,,,,,,,,,,,,,736,4544
Trans_0019,$0.18 ,5,Trans,,,,,2,,,,,,,,,,,,,,736,4624
Trans_0020,$0.00 ,2,Trans,,,,,6,,,,,,,,,,,,,,1328,1520
Trans_0021,$0.00 ,2,Trans,,,,,6,,,,,,,,,,,,,,1328,1792
Trans_0022,$2.00 ,2,Trans,,,,,2,,,,,,,,,,,,,,1328,4384
